ROUTE,flights_count,avg_arrival_delay,median_arrival_delay,cancel_rate,diverted_rate,avg_distance,cluster
ATL-FSD,9,16.77777777777778,-2.0,0.0,0.0,1535.1437122072293,0
ATL-FSM,12,7.909090909090909,5.0,0.08333333333333333,0.0,929.9383764952267,0
ATL-FWA,19,3.823529411764706,-6.0,0.05263157894736842,0.05263157894736842,818.7648692763014,1
ATL-GNV,31,5.67741935483871,-7.0,0.0,0.0,484.2697988416221,0
ATL-GPT,26,-5.538461538461538,-6.0,0.0,0.0,566.3166976063353,0
ATL-GRB,6,1.3333333333333333,-6.0,0.0,0.0,1247.1519668373578,0
ATL-GRK,9,5.555555555555555,-3.0,0.0,0.0,1289.9330896614642,0
ATL-GRR,16,-2.5,-14.0,0.0,0.0,1031.9007724508983,0
ATL-GSO,48,-2.723404255319149,-5.0,0.020833333333333332,0.0,492.27706447083665,0
ATL-GSP,47,5.913043478260869,-4.5,0.02127659574468085,0.0,246.26580771234822,0
ATL-GTR,19,3.111111111111111,-1.0,0.0,0.05263157894736842,386.49168676239765,1
ATL-HOU,76,7.328947368421052,-10.0,0.0,0.0,1118.424976902989,0
ATL-HPN,34,3.3666666666666667,-4.5,0.11764705882352941,0.0,1255.079376073806,0
ATL-HSV,38,-0.5675675675675675,-6.0,0.02631578947368421,0.0,242.86290582673132,0
ATL-IAD,36,7.722222222222222,-1.5,0.0,0.0,858.6614056390048,0
ATL-IAH,73,8.777777777777779,-5.5,0.0136986301369863,0.0,1107.8295395478667,0
ATL-ICT,16,-4.4375,-11.5,0.0,0.0,1255.602028804559,0
ATL-ILM,29,-2.3793103448275863,-4.0,0.0,0.0,605.721236378773,0
ATL-IND,66,4.2727272727272725,-0.5,0.0,0.0,695.8880050922074,0
ATL-JAN,32,-5.032258064516129,-9.0,0.03125,0.0,547.1934456255634,0
ATL-JAX,86,2.813953488372093,-4.0,0.0,0.0,434.7178710955284,0
ATL-JFK,32,11.59375,-6.0,0.0,0.0,1221.7272759674247,0
ATL-LAS,61,13.557377049180328,-3.0,0.0,0.0,2804.8569419910646,0
ATL-LAX,89,-0.5056179775280899,-8.0,0.0,0.0,3125.8143046290666,0
ATL-LEX,33,-0.09090909090909091,-6.0,0.0,0.0,489.13607173311794,0
ATL-LFT,22,10.863636363636363,-3.0,0.0,0.0,809.0368120014678,0
ATL-LGA,134,10.992063492063492,-1.5,0.05223880597014925,0.007462686567164179,1224.505424768238,0
